"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","NOTES"
"108",9,"Kenneth Gainwell",TB,"RB37","10","Kenneth Gainwell was an integral part of the Pittsburgh backfield last year for the entire season, but he really hit his stride in Weeks 11-18 as the RB7 in fantasy points per game with 13.3 touches and 85 total yards per game. His passing game was robust during this stretch as he was third in target share (17.5%), second in receiving yards per game (45.4), fourth in yards per route run (2.10), and first in first downs per route run (0.116, per Fantasy Points Data). That also isn’t to say that he wasn’t also fantastic on early downs, ranking 14th in explosive run rate and missed tackle rate overall for the season among backs. Gainwell will play a prominent role for his new team (Tampa Bay) this season as a complement to Bucky Irving. Irving has had a substantial list of injuries that he has dealt with during his short career, so I wouldn’t be surprised if Gainwell is leading the backfield some weeks in 2026 with a solid standalone role when Irving is active. Gainwell could easily return RB2 value in 2026 if everything falls in his favor. He definitely carries more fantasy appeal in PPR formats, though."
"109",9,"Jayden Reed",GB,"WR46","11","Jayden Reed’s 2025 season was largely lost to injuries, but Green Bay’s offseason actions suggest the Packers still believe in his long-term upside. The explosive slot receiver received a lucrative extension while the team moved on from other veteran wideouts, potentially opening the door for a more stable every-down role. Reed’s route participation and deployment remain the key questions for fantasy purposes, though his efficiency and playmaking ability have never been in doubt. in the games where Reed played at least 38% of the snaps, he had no fewer than three receptions in any contest during the regular season (8.8 PPG). At his current draft cost, Reed profiles as an appealing post-hype sleeper with room for a major rebound."
"110",9,"Jake Ferguson",DAL,"TE11","14","Jake Ferguson is a competent pass catcher in a prolific offense, but the presence of two star receivers in Dallas could limit Ferguson’s fantasy upside. Ferguson had 82 catches for 600 yards and eight touchdowns in 2025. The reception and TD totals were career highs, but Ferguson averaged just 7.3 yards per catch, a career low. He finished TE8 in half point fantasy scoring but was TE13 in fantasy points per game among TEs who played at least five games. The Cowboys have an explosive passing attack, but WRs CeeDee Lamb and George Pickens are QB Dak Prescott’s principal targets. The Lamb-Pickens duo combined for 250 targets and 168 receptions last season. Ferguson’s 2026 production could be limited as long as Lamb and Pickens are both healthy, so it’s best to consider Ferguson a high-end TE2 in this year’s drafts."
"111",9,"Quentin Johnston",LAC,"WR47","7","Quentin Johnston showed more signs of progress in 2025, posting career-best fantasy production (WR25 PPG) while maintaining his role as a downfield and red-zone weapon in the Chargers’ offense. The season was still wildly inconsistent, as Johnston’s early breakout faded once Oronde Gadsden became more involved in the passing game. Even so, Johnston remains attached to an ascending offense with Justin Herbert and should maintain a full-time role entering 2026. The upside remains enticing, but after three seasons without a true top-30 finish, fantasy managers should still expect volatility from the former first-round pick."
"112",9,"Jacory Croskey-Merritt",WAS,"RB38","7","Last year, Jacory Croskey-Merritt had an up-and-down season as the RB41 in fantasy points per game. Washington didn’t trust him as a passing game option, and he was in and out of the starting lineup as the team also leaned on other backs like Chris Rodriguez. In 2025, Croskey-Merritt had four top 24 finishes in weekly scoring while also popping in rushing efficiency metrics. Among 49 qualifying backs, he ranked 26th in explosive run rate, 19th in yards after contact per attempt, seventh in yards per carry on zone runs, and ninth in one rushing success rate (per Fantasy Points Data). Croskey-Merritt is only a dice roll this season as he’ll be competing with Rachaad White, Kaytron Allen, and Jerome Ford for the starting job and work in 2026."
"113",9,"Kyler Murray",MIN,"QB17","6","After seven topsy-turvy seasons with the Cardinals, Kyler Murray will make a fresh start with the Vikings in 2026. Murray may or may not be in a quarterback competition with JJ McCarthy for Minnesota’s starting job, but it’s widely expected that Murray will be taking the snaps when the Vikings face the Packers in Week 1. Murray played only five games last season before sustaining a foot sprain that eventually landed him on injured reserve. Murray’s yearly finishes in fantasy points per game among quarterbacks with at least five starts: QB11, QB4, QB4, QB7, QB9, QB12, QB20. Murray steps into a good situation with Kevin O’Connell as his playcaller, and he’ll have Justin Jefferson, Jordan Addison and Jauan Jennings as his wide receivers. Murray has always added rushing value, having averaged at least 30 rushing per game in all seven of his NFL seasons. The perception might be that Murray is damaged goods, but he could be one of the better QB values in 2026 fantasy drafts."
"114",9,"Josh Downs",IND,"WR48","13","Josh Downs is good. PFF’s 20th-highest graded WR in 2025. And for the second straight year...the Colts slot WR was hyper-targeted at a 24% clip. That led all Colts WRs and TEs in 2025. And he creates separation. Per Fantasy Points Data...Downs ranked 20th in average separation score. Downs has been limited because of a lack of high-end route participation, but a late-season route bump could suggest more of Downs in a full-time role in 2026....after the team traded Michael Pittman Jr. to the Steelers."
"115",9,"George Kittle",SF,"TE12","8","George Kittle tore his right Achilles in the 49ers’ Wild Card win over the Eagles on Jan. 11. Kittle says his goal is to play in the 49ers’ 2026 season opener against the Rams in Australia, defying the typical recovery timeline for an Achilles tear. It’s possible the 32-year-old Kittle misses time early in the season, and it’s possible he won’t offer the usual Kittle-level production upon his return. But there will be an injury discount on Kittle in 2026 fantasy drafts, and the possibility that he’s back to peak form in time for the fantasy playoffs is appealing. Over the last four seasons, Kittle has averaged 4.6 catches, 63.4 yards and 0.5 touchdowns per game. Kittle has been remarkably efficient over his career, averaging 10.0 yards per catch and 2.27 yards per target - better career numbers than superstar WR Ja’Marr Chase in both categories."
"116",9,"Rachaad White",WAS,"RB39","7","Over the last two seasons, with Bucky Irving in town, Rachaad White was a more effective per-touch player, but with Irving out of the lineup last year, he proved again that he can carry the mail (although while being horribly inefficient). Last season, in Weeks 5-12, White averaged 14.6 touches and 60 total yards while seeing 71% of the snaps. During that span, White was the RB23 in fantasy points per game with a 1.2% explosive run rate, a 14% missed tackle rate, and only 1.52 yards after contact per attempt (per Fantasy Points Data). White has moved on to Washington for the 2026 season, and he could easily be their starting running back this season if he can secure the job coming out of camp. He is a decent dice roll for fantasy football for 2026, who could stack up enough volume to pay off for fantasy gamers."
"117",9,"Jordan Love",GB,"QB18","11","It’s possible Jordan Love is simply a better real-life fantasy quarterback than fantasy quarterback. In 2025, Love ranked second among all quarterbacks in expected points added per dropback, third in defense-adjusted value over average, third in QBR and sixth in passer rating. And yet Love averaged only 16.1 fantasy points per game, which ranked QB19 among quarterbacks who made at least eight starts. Love finished QB5 in 2023, his first full season as an NFL starter, and hasn’t finished in QB1 range since. It’s partly because the Packers have been so run-heavy the last two seasons, finishing 31st in pass rate over expected in 2024, 22nd in 2025. Love hasn’t offered much rushing production either, with 282 rushing yards and one TD run over the last two seasons. Love might be a top-10 quarterback in reality, but it’s best to regard him as a high-end to midrange QB2 in 2026 fantasy drafts."
"118",9,"Jordan Mason",MIN,"RB40","6","Jordan Mason is a one-trick pony, but that one trick is quite good. He’s a strong early down option for NFL offenses and should continue to serve in the role this season for Minnesota. Last year, he was the RB42 in fantasy points per game while soaking up 158 rushing attempts and producing 758 rushing yards and six total touchdowns. Among 49 qualifying backs, he ranked tenth in explosive run rate, seventh in rushing success rate, ninth in missed tackle rate, and 15th in yards after contact per attempt (per Fantasy Points Data). Aaron Jones will continue to be the passing-down partner for Mason for Minny in 2026. If (or when) Jones misses time, Mason could be a plug-and-play RB2, but he’s best viewed as a high-end handcuff/touchdown-dependent flex."
"119",9,"Jayden Higgins",HOU,"WR49","8","Jayden Higgins had a quiet rookie season statistically, but the Texans’ second-round pick showed encouraging flashes once his role expanded late in the year. Higgins started earning more playing time after Week 10 and proved capable of stepping up whenever Nico Collins missed time, flashing both touchdown upside and starter-level usage. Entering Year 2, Higgins is positioned as Houston’s full-time No. 2 receiver with clear contingent upside if Collins were ever sidelined. He’s an appealing late-round depth target in deeper fantasy formats, especially given the coaching staff’s confidence in his long-term potential."
"120",9,"Isaiah Likely",NYG,"TE13","8","After spending the first four seasons of his NFL career with the Ravens, Isaiah Likely signed a three-year, $40 million contract with the Giants. Likely shared targets with Mark Andrews for four years and could see increased usage with his new team. The Giants are thin at wide receiver behind young star Malik Nabers, and Nabers has been slow to recover from an ACL tear sustained last September, leaving his early-season status in question. Likely’s best season with the Ravens was in 2024, when he had 42 catches for 477 yards and six TDs. He never saw more than 60 targets in any of his four seasons in Baltimore. The world saw Likely’s potential when he had nine catches for 111 yards and a touchdown in the Ravens’ nationally televised season opener against the Chiefs in 2024. With an expected target increase in 2026, Likely has a chance to be a top-10 fantasy tight end."
"121",9,"Baker Mayfield",TB,"QB19","10","This is a crossroads year for Baker Mayfield, who went from QB3 in fantasy points per game in 2024 to QB19 last season. Mayfield’s completion percentage fell from 71.4% in 2024 to 63.2% in 2025. He went from 7.9 yards per pass attempt in 2024 to 6.8 yards per attempt in 2025. Injuries may have been at least partly to blame. WRs Mike Evans and Chris Godwin each missed about half the season. WR Emeka Egbuka started fast, then hurt his hamstring and fell off dramatically. The Buccaneers’ offensive line was banged up early in the season. Mayfield himself dealt with a shoulder injury. Mayfield had a good season with Dave Canales as his playcaller in 2023 and an even better season with Liam Coen as his playcaller in 2024. Mayfield had a disappointing 2025 season in tandem with Buccaneers offensive coordinator Josh Grizzard. Now he gets his fourth playcaller in as many seasons, new Buccaneers offensive coordinator Zac Robinson. A bounce-back season for the 31-year-old Mayfield is entirely possible, but we probably shouldn’t assume he’ll return to his 2023-2024 form."
"122",9,"Dallas Goedert",PHI,"TE14","10","Dallas Goedert not only scored a career-high 11 touchdowns in 2025, but he more than doubled his previous single-season high. Goedert had never scored more than five touchdowns in any of his seven previous NFL seasons. Six of Goedert’s TDs last year came on variations of shovel passes from the 5-yard line or closer, as the shovel pass to Goedert became a short-range alternative to the Eagles’ “tush push” QB sneaks. Goedert also hit a career high with 60 receptions last season, although he averaged a career-low 9.9 yards per catch. The 31-year-old Goedert clearly has gas left in the tank. The question is whether the Eagles’ new offensive coordinator, Sean Mannion, will feature Goedert near the goal line as much as departed Eagles OC Kevin Patullo did."
"123",9,"Khalil Shakir",BUF,"WR50","7","Khalil Shakir once again provided stability without much ceiling, finishing as a WR3/4 despite operating as one of Josh Allen’s most trusted targets. His short-area role created a reliable weekly floor, but limited downfield and red-zone usage continued to cap his fantasy upside. The addition of DJ Moore adds even more competition for targets, making it difficult to project meaningful volume growth in 2026. Shakir still profiles as Buffalo’s safest receiver from a consistency standpoint, but fantasy managers should view him more as a floor-based depth option than a breakout candidate."
"124",9,"Tyler Shough",NO,"QB20","8","Second-round draft pick Tyler Shough was a pleasant surprise for New Orleans as a rookie. He now enters the 2026 season as the Saints’ undisputed starter, with an opportunity to prove that he can be the team’s long-term answer at quarterback. Spencer Rattler started the Saints’ first eight games in 2025, but Shough took over as the starter in Week 9 and guided the team to a 5-4 record down the stretch. Shough was QB12 in fantasy points per game from Week 9 through the end of the regular season, and he produced at least 17.1 fantasy points in each of his last six starts. The 26-year-old Shough completed 67.6% of his throws, averaged 7.3 yards per pass attempt, and had 10 TD passes and six interceptions. He also averaged 16.9 rushing yards per game and had three TD runs. It should be noted that only one of the teams Shough faced in his nine starts last season, the Rams, ranked inside the top 10 in DVOA against the pass. Still, it was an impressive half-season for Shough, and the Saints should have an easy schedule again in 2026. The Saints feathered Shough’s nest in this year’s NFL Draft by drafting WR Jordyn Tyson No. 8 overall. With Tyson and veteran Chris Olave, Shough has more than adequate pass-catching weaponry."
"125",9,"Xavier Worthy",KC,"WR51","5","Xavier Worthy’s sophomore season never gained traction, as injuries, inconsistent quarterback availability, and the return of established weapons kept him from carving out a meaningful fantasy role. The speedster still flashed explosive upside and posted stronger numbers when paired with Patrick Mahomes, but Kansas City’s offense clearly revolved around Rashee Rice whenever he was available. Worthy’s usage suggests better days could be ahead, especially after dramatically underperforming expectations compared to Year 1. If Rice misses time again or the Chiefs’ offense rebounds, Worthy remains an intriguing post-hype breakout candidate entering his age-23 season."
"126",9,"Tyrone Tracy Jr.",NYG,"RB41","8","Tyrone Tracy slots in as a strong handcuff this season. If Cam Skattebo is fully healthy, I expect him to lead New York’s backfield, but if he can’t stay healthy in 2026 (very possible), Tracy could be a plug-and-play RB2. Last year, Tracy had another nice run as the Giants’ starting back. In Weeks 10-18, he was the RB14 in fantasy points per game, averaging 18.7 touches and 95.5 total yards. Overall, among 49 qualifying backs, he ranked 27th in explosive run rate and 31st in yards after contact per attempt (per Fantasy Points Data). If Skattebo misses any games, you’ll be glad you drafted Tracy."
"127",9,"Tyler Allgeier",ARI,"RB42","14",""
"128",9,"Woody Marks",HOU,"RB43","8","With David Montgomery in Houston now, Woody Marks becomes his immediate backup and handcuff. Marks is a solid option among handcuffs. Last year, during his run as Houston’s starter (Weeks 10-18), he averaged 17.5 touches and 63.2 total yards per game as the RB32 in fantasy points per game. Last year, overall, he was solid but not spectacular on a per-touch basis, ranking 34th in explosive run rate, 48th in missed tackle rate, and 40th in rushing success rate (per Fantasy Points Data). Marks is a decent late-round handcuff option to draft, but you’ll likely be able to get him off the waiver wire in season if Montgomery misses any time."
"129",9,"Chris Rodriguez Jr.",JAC,"RB44","7","Chris Rodriguez reunited with Liam Coen this offseason as he signed with the Jacksonville Jaguars. Rodriguez and Coen spent time together during Coen’s one-year tenure as Kentucky’s offensive coordinator during the 2021 collegiate season. In that season, Rodriguez ran for 1,379 yards with 6.1 yards per carry and 12 total touchdowns. Rodriguez will look to build upon his brief run as Washington’s starter last season. In Weeks 10-18, he drew six starts while averaging 12.7 touches and 57.7 total yards as the RB31 in fantasy points per game. Rodriguez could be an early down and short yardage option for the Jags this year, as he won’t be contributing much in the passing game. Last season, he had only four targets and 30 receiving yards with Washington. He was quite good as a rusher, though ranking 12th in missed tackle rate and second in yards after contact per attempt (per Fantasy Points Data). We’ll see how much Rodriguez can eat into Bhayshul Tuten’s workload this season, but he’s a nice late-round pick in all formats."
"130",9,"Mark Andrews",BAL,"TE15","13","Is Mark Andrews poised for a bump in productivity now that TE Isaiah Likely has left the Ravens for the Giants, leaving Andrews as the only established pass-catching tight end on the Baltimore roster? Or is Andrews, who turns 31 on Sept. 6, simply out of gas? Andrews’ production cratered last season. He had career lows in yards per game (24.8), yards per catch (8.8) and yards per target (6.0). Some of Andrews’ problems were undoubtedly related to Lamar Jackson’s 2025 health issues. The Ravens’ starting QB missed four regular-season games and didn’t appear to be fully healthy in others. If Jackson returns to form and Andrews sees a target increase in the absence of Likely, Andrews could offer midrange TE1 numbers at a low-end TE1/high-end TE2 price. Andrews has drawn 69 and 70 targets the last two seasons despite playing 17 regular-season games both years. He drew 153 targets in 2021 and 113 targets in 15 games in 2022."
"131",9,"Romeo Doubs",NE,"WR52","11","Romeo Doubs lands in a much more pass-heavy offensive environment after signing with New England, where he should have a larger opportunity than he ever consistently received in Green Bay. The veteran receiver quietly improved his efficiency over the last two seasons while maintaining strong red-zone involvement and reliable weekly usage. Doubs has recorded two seasons with at least seven receiving TDs, while also commanding 17 or more red-zone targets in multiple seasons. Doubs may never develop into a true alpha WR1, but Drake Maye and Josh McDaniels could help unlock the most productive stretch of his career. He profiles as a solid WR3/FLEX option with touchdown upside in an ascending Patriots offense."
"132",9,"KC Concepcion",CLE,"WR53","11","KC Concepcion lands in an intriguing spot after the Browns selected him 24th overall to help reshape their passing attack under new HC Todd Monken. The former Texas A&M Aggie boasts an elite production profile, dynamic YAC ability, and a versatile skill set that has drawn comparisons to Zay Flowers. With uncertainty surrounding Cleveland’s WR hierarchy, Concepcion has a realistic path to emerging as a featured option sooner rather than later. The Browns quarterback situation creates volatility, but his ability to create offense on his own makes him one of the more intriguing rookie sleeper receivers in fantasy football considered he has first-round draft capital."
"133",9,"Malik Willis",MIA,"QB21","6","Cast aside by the Titans and rejuvenated by a stint as a backup with the Packers, Malik Willis now gets a chance to prove himself as a starter for the Dolphins, who signed him to a three-year, $67 million contract in March. Willis is an electric runner. In six career starts, Willis has averaged 44.8 rushing yards per game and has run for four touchdowns. And Willis seems to have made considerable strides as a passer. Over 11 appearances and three starts in Green Bay in 2024 and 2025, Willis completed 78.7% of his throws and averaged 10.9 yards per pass attempt, with six TD passes and zero interceptions. Willis will be hard-pressed to match that sort of passing efficiency with the Dolphins, who might have the worst collection of pass catchers in the league. But Willis’ running ability should make him fantasy-viable even if his passing numbers are mediocre."
"134",9,"Jonathon Brooks",CAR,"RB45","5","Jonathon Brooks is a wonderful wild card pick for 2026 with big-time upside if he is 100% and ready to rock. Brooks has had enough time recuperating from his second torn ACL that he should enter camp this season and Week 1 fully healthy. Chuba Hubbard lost his starting job to Rico Dowdle last season, and Carolina let him walk in the offseason. Outside of Brooks and Hubbard, Carolina has only Trevor Etienne and A.J. Dillon on the roster, so Carolina is heavily betting on Brooks to return to his collegiate form. Brooks could pull an Uncle Rico from last year and steal Hubbard’s starting job in 2026. Just to remind everyone about the talent that Brooks has, in 2024 (his final collegiate season), he ranked 21st in yards after contact per attempt, ninth in elusive rating, and 21st in yards per route run (per PFF). I’ll be drafting Brooks a ton this season."
"135",9,"Zach Charbonnet",SEA,"RB46","11","Zach Charbonnet enters 2026 with an unknown timetable for when he’ll be available for Seattle or when he’ll be 100% after he tore his ACL in last year’s playoffs. With Jadarian Price, Emanuel Wilson, and George Holani on the depth chart, I doubt that Seattle rushes him back into duty and tasks him with a hefty workload before he’s ready. This unknown/moving timeline has me shying away from Charbonnet for 2026. Last year, he was the RB27 in fantasy points per game, while ranking seventh in missed tackle rate and yards after contact per attempt (per Fantasy Points Data). Take those numbers with a grain of salt for this season, with Charbonnet’s health likely not 100% for most of the season. Charbonnet could be a decent flex play this season at some point."
"136",9,"Oronde Gadsden II",LAC,"TE16","7","Oronde Gadsden had an exciting four-game run last year as a rookie with 24 catches for 377 yards and 2 TDs from Week 6 to Week 9. He was TE1 in fantasy scoring over that stretch. Despite some dazzling flashes, Gadsden’s 2026 fantasy outlook is murky. The Chargers signed blocking TE Charlie Kolar in free agency and picked up former Browns TE David Njoku in May. The Chargers have also added fullback Alec Ingold, who was with new offensive coordinator Mike McDaniel in Miami. With 49 catches for 664 yards and three touchdowns in 15 games as a rookie, Gadsden offers intriguing fantasy upside. But with two other quality tight ends on the roster, Gadsden should be no more than a later-round dart throw in 2026 drafts."
"137",9,"Jalen Coker",CAR,"WR54","5","Jalen Coker continued proving he belongs after entering the league as an undrafted free agent, flashing whenever he was healthy enough to stay on the field. The Panthers slot receiver finished the year strong, highlighted by a huge playoff performance and a stretch of consistent production that hinted at a larger role. Coker’s strong hands and reliability helped him emerge as one of Bryce Young’s trusted options, and he enters 2026 as the favorite for Carolina’s No. 2 WR job behind Tetairoa McMillan. If he can finally stay healthy for a full season, Coker has sneaky value in deeper formats. In Coker’s last nine games played, he was averaging 10.1 PPG in half-PPR."
"138",9,"Juwan Johnson",NO,"TE17","8","Jake Ferguson is a competent pass catcher in a prolific offense, but the presence of two star receivers in Dallas could limit Ferguson’s fantasy upside. Ferguson had 82 catches for 600 yards and eight touchdowns in 2025. The reception and TD totals were career highs, but Ferguson averaged just 7.3 yards per catch, a career low. He finished TE8 in half point fantasy scoring but was TE13 in fantasy points per game among TEs who played at least five games. The Cowboys have an explosive passing game, but WRs CeeDee Lamb and George Pickens are QB Dak Prescott’s principle targets. The Lamb-Pickens duo combined for 250 targets and 168 receptions last season. Ferguson’s 2026 production could be limited as long as Lamb and Pickens are both healthy, so it’s best to consider Ferguson a high-end TE2 in this year’s drafts."
"139",10,"C.J. Stroud",HOU,"QB22","8","Over the last two years, CJ Stroud has been unable to match the splendor of his 2023 rookie season. Shoddy offensive line play was undoubtedly part of the problem in 2024. The Texans’ O-line outperformed expectations in 2025, but Stroud was a league-average starter at best. As a rookie, Stroud threw for 4,108 yards and 23 touchdowns, with only five interceptions. He averaged 273.2 passing yards per game and 8.2 yards per pass attempt. In 31 starts over the last two seasons, Stroud has averaged 218.3 passing yards per game and 7.1 yards per attempt. His yearly finishes in fantasy points per game among QBs with at least nine starts: QB7, QB26, QB20. The Texans have worked on upgrading Stroud’s offensive line, and Houston has a solid set of pass catchers led by WR Nico Collins. But with Houston having one of the NFL’s top defenses, Stroud probably won’t be presented with a lot of pass-happy game scripts. Consider Stroud a low-end QB in 2026 fantasy drafts."
"140",10,"Tyjae Spears",TEN,"RB47","9",""
"141",10,"Matthew Golden",GB,"WR55","11","Matthew Golden’s rookie season was mostly quiet from a fantasy perspective, but the underlying context suggests better days are ahead. Green Bay has significant vacated targets entering 2026, and Golden’s lack of production was driven more by inconsistent playing time than poor efficiency. The former first-round pick flashed his upside late in the year and remains an intriguing fit alongside Jordan Love thanks to his speed and big-play ability. If his route participation climbs in Year 2, Golden has clear breakout potential in an evolving Packers offense."
"142",10,"Isiah Pacheco",DET,"RB48","6","Isiah Pacheco lands with the Lions as the change-of-pace back/handcuff for Jahmyr Gibbs. Pacheco’s health has been an issue for the last three years. In a complementary/goal-line role, he could pay dividends for Detroit. If he can recapture any resemblance to the player that posted a 5.4% explosive run rate and 2.77 yards after contact per attempt in 2023 in Detroit, he should pay off for the Lions in 2026 (per Fantasy Points Data). If Gibbs were to miss any time, Pacheco would likely be an RB2 option for fantasy gamers."
"143",10,"Dylan Sampson",CLE,"RB49","11",""
"144",10,"Sam Darnold",SEA,"QB23","11","It took Sam Darnold seven seasons to finally get his footing as an NFL starter, but he’s now put together two splendid seasons, culminating in a Super Bowl victory with the Seahawks. Darnold began his career with three nightmarish seasons as a Jet, fared little better in two seasons as a Panther, and spent one season as a backup with the 49ers before finally breaking through with the Vikings in 2024. He signed with the Seahawks in 2025 and guided the team to a 14-3 regular-season record and a 3-0 run through the playoffs. Over the last two regular seasons, Darnold has completed 66.9% of his throws and averaged 8.2 yards per pass attempt, with 60 TD passes, 26 interceptions, and a passer rating of 100.9. He’s finished QB9 and QB13 in fantasy scoring the last two years. Darnold averaged only 28.1 pass attempts per game last season, as the Seahawks ran the ball at the third-highest rate in the league. Darnold must adjust to a new offensive coordinator, Brian Fleury, now that former Seahawks OC Klint Kubiak has taken the Raiders’ head-coaching job. But it’s possible Seattle throws at a higher rate this year, which could potentially boost Darnold’s passing numbers."
"145",10,"Brenton Strange",JAC,"TE18","7","Brenton Strange hit career highs in receptions (46), receiving yards (540) and TD catches (3) last season despite playing only 12 games. The 25-year-old Strange, a second-round draft pick in 2023, averaged an impressive 9.0 yards per target and a solid 1.58 yards per route run in an ascendant Jacksonville offense. Still, his fantasy impact was modest. Strange finished TE18 in half-point PPR fantasy points per game among TEs who played at least five games. Although his 2025 performance hints at greater fantasy potential, Strange may have to share snaps with other tight ends in Jacksonville. The Jaguars selected Nate Boerkircher in the second round and Tanner Koziol in the fifth round of this year’s draft. That suggests the Jaguars will use more multiple-TE sets this season, which wouldn’t necessarily be bad for Strange, but it somewhat clouds his fantasy outlook for 2026."
"146",10,"Rashid Shaheed",SEA,"WR56","11","Rashid Shaheed’s 2025 season was derailed after a midyear trade from New Orleans to Seattle, but his early-season showed he is capable of thriving as a fantasy-relevant No. 2 receiver. Before the trade, Shaheed ranked top-15 in WR targets and consistently produced alongside Chris Olave in the Saints offense. Seattle never fully incorporated him after the move, though the Seahawks clearly believe in his upside after handing him a three-year deal this offseason. Shaheed should enter 2026 as Seattle’s clear WR2 behind Jaxon Smith-Njigba, although target competition and the team’s run-heavy tendencies could make him more boom-or-bust week to week."
"147",10,"Hunter Henry",NE,"TE19","11","With 60 catches for 768 yards and seven touchdowns last season, Hunter Henry finished TE7 in half-point PPR fantasy scoring and TE12 in fantasy points per game among TEs who played at least five games. That was a career high in yardage for Henry, and his 8.8 yards per target represented his best mark in that category since 2017. Henry seems to have good rapport with young Patriots QB Drake Maye, and the 31-year-old tight end hasn’t shown signs of slowing down. But New England’s potential addition of WR A.J. Brown could put at least a slight dent in Henry’s target share."
"148",10,"Alvin Kamara",NO,"RB50","8",""
"149",10,"Keaton Mitchell",LAC,"RB51","7","Keaton Mitchell landed with the Chargers this offseason and should be solid competition for Kimani Vidal for the RB2 role. Mitchell flashed with the same big-play ability that he has been known for in his short career with the Ravens last season. Last season, he had only 68 touches, but he had a 10.2% explosive run rate and a respectable 1.37 yards per route run (per Fantasy Points Data). I don’t know if he’ll have a ton of bankable standalone value week-to-week with the Bolts, but he will offer some flashy big plays for Mike McDaniel’s offense when called upon in 2026. I wouldn’t be surprised if he works his way into an ancillary role as the season moves along that offers some flex value, but we’ll have to wait and see if that comes to fruition."
"150",10,"Cam Ward",TEN,"QB24","9","Cam Ward struggled mightily for most of his rookie year but showed improvement late in the season, creating optimism for 2026. The No. 1 pick in last year’s NFL Draft averaged just 10.2 fantasy points per game over his first 12 starts. He averaged a paltry 5.7 yards per pass attempt over that span, with seven TD passes and six interceptions. Ward didn’t have more than one TD pass in a game until Week 14, but then he had three consecutive games with two TD passes. Over Ward’s last four starts of 2026 (not including a brief cameo appearance in Week 18), he averaged 15.5 fantasy points per game. A shortage of pass-catching weaponry was a major problem for Ward as a rookie. The Titans addressed that issue by signing WR Wan’Dale Robinson in free agency and drafting Ohio State WR Carnell Tate No. 4 overall. Hopefully Ward will get better protection from his offensive line in 2026 after taking a league-high 55 sacks last year. Ward is probably only a consideration in superflex leagues or extremely deep redraft leagues for 2026, but the talented youngster could come on quickly."
"151",10,"Jonah Coleman",DEN,"RB52","10","Jonah Coleman walks into the Denver depth chart as the RB3 with the ability to climb the depth chart. If J.K. Dobbins is unable to stay healthy this year, Coleman could assume the early down duties opposite R.J. Harvey. If Harvey can’t continue to grow and improve after his rookie season, it wouldn’t be shocking to see Coleman hop Harvey on the depth chart and become the passing-down option for Denver. Over his last three collegiate seasons, Coleman ranked 54th, 13th, and 1st in yards after contact per attempt and 61st, sixth, and fourth in elusive rating (per PFF). In two of those three seasons, he was also top 24 in yards per route run. Coleman is a wonderful late-round dart to toss in fantasy drafts in 2026."
"152",10,"Brian Robinson Jr.",ATL,"RB53","11","Brian Robinson Jr. is quietly one of the best handcuffs in football. If Bijan Robinson were to miss any time, he’d be the team’s every-down back with only Tyler Goodson and Nathan Carter behind him on the depth chart. I doubt he has much standalone value this season, so if you’re drafting him, it’s for his handcuff upside only. Last year, when he was on the field for the 49ers, he posted a solid 4.3% explosive run rate and 2.46 yards after contact per attempt (per Fantasy Points Data). If Bijan Robinson were knocked out of the lineup, Brian Robinson Jr. would be a top 24 back immediately with RB1 upside in any week."
"153",10,"Jerry Jeudy",CLE,"WR57","11","Jerry Jeudy’s last year in Cleveland was disappointing both from an efficiency and fantasy standpoint, and the outlook for 2026 isn’t much brighter. Despite a respectable target volume, Jeudy struggled badly on a per-route basis (8th worst in YPPR) while the Browns aggressively added more pass-catching competition this offseason. Cleveland can talk up Jeudy’s role all it wants, but drafting multiple receivers early suggests the organization isn’t fully committed to him as the long-term WR1. At his current price, Jeudy feels more like a player fantasy managers should avoid than target."
"154",10,"Jauan Jennings",MIN,"WR58","6","Jauan Jennings revived his career over the last two seasons, finishing as a fantasy WR3 in 2025 while emerging as one of the NFL’s most heavily targeted red-zone receivers. However, his move to Minnesota likely pushes him into a depth role behind Justin Jefferson and Jordan Addison. Vikings HC Kevin O’Connell values Jennings’ versatility and physicality, but consistent fantasy relevance could be difficult to achieve without injuries ahead of him on the depth chart. Jennings still offers some touchdown appeal in deeper formats, though his weekly ceiling projects much lower in Minnesota than it was in San Francisco."
"155",10,"Braelon Allen",NYJ,"RB54","13",""
"156",10,"Tank Bigsby",PHI,"RB55","10","Tank Bigsby is one of the best handcuffs in the NFL, and he won’t get mentioned at the top of the conversation many times. Last year, among 65 qualifying backs, he ranked fourth in explosive run rate, second in missed tackle rate, and first in yards after contact per attempt (per Fantasy Points Data). In the one game that he played more than 40% of the snaps (Week 18), we got to see what his fantasy value could be if Saquon Barkley missed any time. He logged 17 touches with 106 total yards as the RB9 for the week in PPR scoring. If you’re looking for handcuffs to stash, Bigsby is one of the best."
